5

1 5 10
445 259 19 68
446 485 8 56
446 83 13 111
446 153 8 137
454 589 19 57
454 626 16 94
458 603 15 120
461 771 14 83
461 762 10 132
466 58 18 86
470 510 13 28
470 860 13 200
472 955 6 28
472 359 8 127
473 505 8 167
478 852 14 126
479 683 16 74
485 235 16 160
486 537 14 158
490 986 20 104
492 671 14 55
492 383 14 129
493 399 9 59
496 458 16 71
497 769 19 184
499 792 20 28
501 654 12 166
504 780 20 135
505 643 16 33
505 282 10 40
505 314 12 73
505 600 10 111
508 190 18 174
509 931 18 123
510 312 15 85
510 942 16 169
511 770 10 89
513 905 10 164
515 694 14 25
515 591 6 47
516 593 11 104
518 15 10 10
518 922 13 200
522 633 16 125
523 588 10 40
523 974 7 178
524 336 18 195
525 371 8 19
527 521 18 168
531 204 19 150
533 318 12 54
533 725 7 168
534 119 6 73
537 956 10 167
538 383 15 125
543 875 11 117
544 449 15 66
545 747 14 97
545 484 19 189
546 353 19 54
546 673 16 183
547 843 20 27
548 237 17 53
548 394 16 79
550 999 11 26
552 842 18 97
554 513 17 30
554 786 17 57
555 626 6 30
556 698 13 145
559 990 18 18
560 853 20 50
563 209 15 133
564 988 8 150
568 723 16 145
572 265 16 149
573 723 18 78
574 570 17 117
578 336 13 158
581 841 20 64
583 88 12 74
583 938 10 94
583 724 10 176
588 903 17 190
592 49 8 31
594 125 12 118
596 635 13 191
600 266 7 149
600 276 7 188
601 369 8 200
602 612 9 112
604 595 7 137
604 850 20 177
605 450 14 112
609 938 15 40
610 72 7 148
612 306 7 14
615 853 8 133
619 759 13 86
621 400 10 181
621 633 20 181
622 435 9 161
625 136 6 142
629 744 14 151
631 881 15 34
631 96 10 185
632 399 9 51
633 616 6 52
635 966 14 62
637 782 13 51
637 821 18 120
638 632 10 53
640 18 7 37
640 261 11 174
640 130 6 191
642 661 14 170
642 51 8 175
648 636 18 44
648 382 19 81
651 543 7 124
652 703 18 30
653 954 20 77
653 632 10 191
654 506 15 138
654 901 19 200
655 61 12 75
655 717 13 182
656 221 6 36
656 641 20 190
658 997 9 121
659 581 13 100
660 236 7 7
660 657 14 44
660 650 12 58
662 886 18 187
663 371 11 93
663 840 17 130
665 157 8 178
666 211 6 182
667 254 13 52
668 642 19 136
668 827 9 169
669 339 13 155
670 438 14 155
670 753 11 165
675 504 15 168
676 737 14 31
677 719 19 98
679 24 16 181
681 783 12 113
682 1000 14 67
685 949 19 72
690 520 20 31
692 90 6 51
692 667 14 77
692 39 9 198
694 79 9 161
696 106 19 136
698 289 14 28
700 280 20 25
704 364 19 26
704 571 20 114
706 562 17 106
707 491 12 169
709 606 19 199
710 138 9 187
711 148 8 83
714 375 17 64
714 90 10 91
716 369 8 141
717 185 19 166
721 890 18 115
726 561 14 132
729 827 13 107
729 542 19 125
730 724 18 93
730 521 14 133
731 810 16 60
733 259 17 191
734 870 6 159
736 960 10 59
742 942 12 199
748 920 8 110
752 594 14 110
753 813 6 148
756 643 7 78
757 727 7 153
758 711 19 62
758 440 7 137
760 633 20 175
761 69 12 143
765 240 19 168
766 278 13 116
767 348 6 100
767 84 12 176
768 277 17 106
769 928 10 123
771 939 17 82
772 231 11 27
772 329 15 80
772 885 10 183
773 53 18 136
774 252 16 118
774 657 6 139
775 468 7 63
776 22 7 165
777 81 13 26
781 537 16 158
783 882 16 81
785 299 13 197
792 880 8 180
794 29 18 159
794 720 6 167
795 185 15 54
796 154 6 56
799 140 9 65
806 173 20 38
807 174 13 166
807 78 18 167
811 183 14 83
812 260 6 95
814 263 9 65
818 624 7 28
819 529 14 14
819 483 11 196
826 435 12 58
831 517 10 133
832 605 8 183
833 498 6 13
833 987 9 162
834 550 15 200
838 105 9 127
844 360 12 161
846 937 11 53
846 575 6 175
849 153 15 123
850 744 15 38
855 795 18 172
858 846 18 91
860 650 18 88
861 453 17 18
861 646 6 115
863 897 9 116
866 754 17 119
873 779 13 193
874 566 14 52
875 125 15 153
877 152 14 29
878 705 16 147
879 731 15 91
879 815 17 129
879 945 16 140
882 705 17 179
884 375 11 45
884 422 10 115
889 134 16 46
889 221 7 139
891 322 10 91
893 973 10 30
895 549 13 58
897 893 7 12
897 866 10 28
899 599 17 58
903 377 12 164
904 730 11 165
908 420 20 57
909 10 20 91
911 756 7 140
911 115 12 169
912 301 7 43
918 885 7 58
918 825 12 197
920 67 15 194
921 276 17 31
921 655 10 125
925 681 9 154
930 819 8 46
934 783 8 30
934 925 20 146
934 499 7 173
935 753 14 106
942 698 20 162
946 731 7 108
949 46 8 22
951 404 16 27
954 318 10 27
957 693 6 142
958 957 11 42
958 159 10 61
960 748 15 95
963 976 15 42
964 646 12 52
965 399 20 59
965 41 11 163
967 263 10 127
968 66 11 25
970 641 17 159
971 997 19 106
975 62 17 74
976 24 7 104
977 120 7 101
978 484 13 149
983 72 8 11
986 589 15 152
988 366 16 89
988 206 14 192
991 69 13 132
992 726 16 186
993 846 14 49
995 595 8 132
995 46 9 172
1005 309 12 38
1005 13 9 73
1006 812 10 126
1006 223 14 145
1010 408 7 52
1012 189 16 99
1014 25 11 127
1020 368 18 82
1020 47 6 149
1022 437 15 52
1025 805 10 136
1030 596 15 64
1030 379 9 178
1034 629 7 148
1035 855 15 105
1035 256 18 131
1037 898 15 56
1041 230 20 35
1041 543 18 160
1042 467 14 175
1046 723 19 131
1047 29 18 30
1047 498 17 87
1047 418 12 140
1048 774 16 37
1048 624 19 108
1049 945 14 15
1049 393 16 152
1051 786 8 65
1052 807 16 130
1054 541 8 130
1056 668 12 143
1061 591 14 54
1061 553 18 128
1061 262 6 194
1063 756 10 192
1064 529 18 54
1064 175 8 61
1064 601 16 129
1067 116 14 169
1068 736 11 49
1070 622 12 12
1074 862 12 146
1083 150 8 40
1085 249 13 189
1089 764 17 99
1092 590 9 134
1093 236 10 39
1093 331 18 115
1094 395 15 177
1096 718 11 87
1096 35 17 94
1099 833 20 37
1100 764 14 165
1102 945 20 188
1105 590 7 142
1108 435 17 64
1110 884 7 35
1110 423 8 51
1111 659 15 90
1112 587 8 41
1112 422 18 168
1112 872 15 197
1113 883 15 36
1113 142 7 67
1121 601 8 31
1122 608 11 165
1125 12 15 26
1132 803 20 146
1134 401 15 91
1134 438 17 179
1135 823 16 124
1139 365 10 91
1139 729 19 127
1139 148 16 183
1140 862 8 37
1140 903 13 113
1140 30 7 117
1141 570 8 59
1144 787 7 85
1144 512 16 121
1148 98 7 30
1150 168 16 196
1151 498 18 152
1152 838 15 62
1154 291 8 29
1154 279 7 104
1155 49 10 57
1155 639 10 131
1158 55 15 118
1158 217 20 132
1160 171 15 118
1162 951 8 168
1163 579 8 120
1166 670 18 112
1167 662 12 59
1167 320 18 200
1169 459 20 139
1170 204 14 76
1170 111 17 116
1172 367 13 39
1173 251 14 64
1176 608 10 163
1177 905 19 160
1178 86 6 196
1179 938 7 143
1184 893 9 176
1184 857 11 194
1185 818 14 99
1187 479 15 29
1188 662 11 90
1190 224 17 80
1190 664 10 145
1190 732 12 150
1190 123 18 198
1195 338 16 127
1197 458 6 127
1198 620 12 121
1203 250 12 133
1204 499 11 159
1205 704 17 183
1213 961 8 17
1214 50 9 146
1215 833 17 26
1215 753 7 119
1216 695 7 158
1219 108 12 34
1222 910 16 65
1222 569 16 98
1225 61 6 133
1231 748 10 66
1236 639 18 176
1245 473 15 90
1246 203 12 141
1247 898 16 152
1247 31 8 170
1249 517 13 51
1249 394 14 87
1250 629 19 145
1251 914 6 127
1252 677 7 83
1253 75 16 57
1253 722 15 182
1255 507 18 109
1256 407 12 38
1263 63 11 89
1264 976 20 164
1266 723 13 56
1267 649 6 175
1275 756 12 22
1275 694 18 70
1277 774 15 26
1278 779 8 183
1280 994 7 20
1285 25 7 97
1287 80 18 70
1290 853 12 67
1291 402 19 115
1296 790 12 24
1297 748 7 175
1302 907 16 56
1302 732 15 83
1302 237 12 146
1305 830 12 21
1306 28 9 114
1308 722 6 153
1309 241 7 101
1310 630 18 186
1311 928 6 11
1312 87 18 120
1313 458 8 153
1319 161 15 174
1320 508 16 60
1324 70 20 40
1324 678 10 112
1325 809 18 72
1325 178 19 82
1331 66 10 49
1336 574 15 80
1339 558 8 96
1344 248 19 126
1346 608 18 138
1348 573 19 135
1355 157 19 22
1357 727 12 119
1358 466 9 33
1360 53 17 73
1363 949 19 73
1367 685 7 166
1368 421 17 125
1369 922 8 86
1375 37 14 70
1375 615 9 117
1380 519 6 70
1381 909 11 172
1381 793 6 195
1382 485 10 16
1383 988 14 36
1386 997 17 108
1387 440 8 168
1388 480 8 39
1389 547 8 43
1390 381 15 34
1393 888 15 139
1394 654 15 17
1396 941 17 40
1399 334 19 60
1399 795 14 171
1403 770 14 65
1403 89 16 135
1404 203 12 87
1407 917 16 64
1407 646 8 179
1409 192 7 8
1418 576 14 44
1422 745 11 38
1422 904 6 121
1425 711 14 68
1427 223 12 19
1428 642 15 112
1435 276 6 80
1436 442 17 82
1436 586 20 122
1436 671 8 133
1437 447 9 130
1438 483 8 149
1441 587 14 92
1442 621 6 57
1442 951 10 137
1442 408 12 181
1444 175 7 47
1445 927 10 198
1446 775 17 48
1446 832 20 124
1453 453 13 152
1454 707 19 188
1458 105 9 117
1458 915 11 150
1460 96 6 130
1460 144 7 130
1461 157 15 142
1464 723 6 189
1466 997 8 66
1468 944 6 66
1472 664 18 139
1473 175 13 180
1474 785 10 109
1476 414 17 74
1477 399 17 20
1479 410 18 74
1479 728 13 120
1480 80 10 171
1489 251 14 79
1492 43 6 75
1492 185 10 108
1495 604 19 21
1496 778 6 168
1497 586 15 59
1499 914 8 79
1499 259 14 189
1500 312 9 89
1503 496 9 147
1504 326 8 54
1508 426 9 74
1508 886 14 189
1513 234 11 140
1514 643 17 153
1518 767 16 20
1520 862 10 175
1522 687 16 164
1524 166 11 118
1525 86 10 22
1528 379 14 33
1531 137 16 80
1533 204 11 141
1534 448 9 136
1539 933 20 62
1542 50 14 54
1543 242 17 136
1544 43 20 160
1547 268 14 170
1548 32 16 117
1552 58 9 122
1554 546 14 166
1555 241 16 59
1555 386 19 146
1558 713 11 140
1558 675 11 143
1561 747 16 187
1564 26 20 176
1566 510 10 153
1567 581 14 53
1567 391 9 160
1569 671 6 103
1569 566 8 174
1572 275 6 121
1575 192 7 134
1576 881 7 77
1577 607 10 70
1580 696 20 189
1581 600 19 22
1581 180 18 39
1587 622 15 24
1587 734 18 74
1592 678 20 63
1596 835 6 165
1598 448 7 53
1600 952 20 61
1606 601 20 37
1606 210 7 180
1607 111 14 52
1608 557 8 132
1608 903 11 162
1611 279 18 148
1614 77 6 20
1617 172 14 105
1617 568 18 150
1622 453 20 99
1624 169 17 168
1628 356 16 164
1628 359 19 185
1634 741 10 197
1635 525 20 152
1636 873 16 140
1638 785 20 46
1638 92 20 166
1639 614 20 40
1639 301 19 158
1639 923 8 159
1639 44 19 194
1641 803 17 84
1644 202 17 27
1644 743 7 159
1646 251 10 52
1647 904 11 42
1648 796 8 156
1653 454 16 173
1655 18 9 85
1661 912 7 16
1662 407 17 33
1662 239 7 153
1665 623 17 168
1666 610 7 137
1667 489 8 10
1667 928 10 193
1669 214 10 160
1670 600 14 56
1670 842 6 96
1670 931 17 148
1672 826 19 52
1672 631 10 145
1676 966 11 58
1680 354 19 31
1680 957 10 37
1680 501 14 145
1682 852 8 23
1682 603 9 188
1683 191 15 145
1684 347 8 60
1684 823 15 125
1686 637 9 92
1687 164 12 76
1687 762 18 92
1691 103 16 99
1691 387 11 127
1691 430 12 181
1692 191 19 79
1692 64 8 124
1697 298 14 186
1701 839 19 180
1704 869 17 40
1704 19 13 118
1706 716 20 185
1708 842 9 21
1709 711 15 50
1711 482 19 81
1712 232 9 37
1713 295 14 164
1718 42 20 195
1719 925 11 160
1721 619 16 22
1727 117 16 134
1729 12 16 22
1730 722 7 61
1732 975 20 196
1732 819 20 199
1733 771 16 150
1736 627 16 95
1739 212 7 70
1740 630 18 51
1741 82 6 130
1742 85 17 105
1742 791 20 136
1750 460 9 145
1753 826 20 93
1756 228 19 102
1758 130 11 23
1758 752 14 137
1759 590 8 44
1761 915 8 127
1762 424 10 110
1763 661 17 88
1765 264 13 68
1766 582 14 137
1767 84 14 42
1773 526 15 72
1775 671 12 63
1778 357 15 100
1782 284 13 93
1784 661 16 184
1786 463 8 115
1788 377 16 21
1792 42 14 74
1794 853 16 53
1794 319 14 171
1795 198 13 50
1798 423 14 133
1800 250 9 18
1801 860 13 13
1801 962 8 102
1805 330 11 19
1806 548 16 103
1807 14 18 40
1810 519 20 37
1810 150 19 196
1821 389 12 50
1821 207 14 170
1822 629 16 25
1825 595 8 63
1829 214 10 23
1834 957 17 170
1835 446 14 72
1836 737 9 126
1837 330 7 100
1840 499 7 70
1842 218 12 98
1842 995 19 135
1844 772 15 44
1845 543 13 176
1848 85 15 67
1848 641 7 138
1848 405 19 142
1849 425 19 133
1852 478 15 60
1853 266 15 177
1854 180 12 155
1857 131 18 116
1864 817 12 70
1864 291 18 114
1870 784 20 84
1872 114 8 20
1872 481 17 28
1872 682 19 156
1873 625 18 138
1874 409 14 144
1876 936 19 191
1878 362 8 78
1882 546 19 95
1889 192 12 174
1890 92 7 136
1892 428 8 194
1894 955 11 82
1894 884 15 123
1895 413 11 146
1902 84 14 27
1902 776 17 105
1905 957 11 95
1906 859 20 34
1906 746 11 104
1907 847 9 134
1907 211 18 158
1907 970 12 194
1911 35 17 141
1912 607 14 200
1914 384 8 140
1916 336 19 135
1918 195 9 90
1919 28 15 84
1921 948 19 60
1921 498 8 200
1924 807 11 66
1926 237 14 138
1933 1000 11 28
1933 946 6 37
1933 372 12 109
1937 176 9 189
1941 918 15 154
1945 170 13 65
1945 73 7 84
1948 646 20 128
1948 210 9 179
1949 789 9 33
1950 972 7 74
1957 886 19 173
1967 448 16 90
1968 1000 11 111
1969 423 10 138
1970 931 14 27
1970 655 15 199
1971 637 15 144
1973 655 13 137
1975 327 20 193
1976 593 10 31
1977 809 15 85
1979 706 6 186
1985 469 8 85
1986 613 6 44
1991 908 8 157
1991 405 11 160
1991 520 7 178
1997 160 16 79
1998 497 15 24
2000 886 15 77
2002 118 10 81
2004 451 14 37
2006 108 20 107
2007 823 8 69
2007 971 13 131
2008 574 20 56
2012 476 19 175
2014 170 20 130
2018 72 12 200
2021 161 6 14
2021 565 14 128
2022 846 16 112
2022 298 11 187
2031 989 13 109
2032 956 12 160
2034 278 19 79
2039 827 13 22
2039 373 14 91
2039 887 12 126
2042 818 10 31
2045 170 7 160
2048 943 20 127
2051 305 11 29
2051 362 6 196
2053 471 17 150
2055 573 9 156
2059 470 12 57
2062 979 10 84
2065 930 9 19
2065 716 6 59
2069 268 9 95
2072 238 14 98
2079 974 18 40
2081 267 9 88
2082 151 18 66
2082 741 9 141
2083 560 19 49
2084 495 19 38
2096 929 16 189
2097 696 14 35
2097 396 18 149
2099 278 14 146
2104 976 14 113
2106 353 16 37
2106 709 16 41
2107 894 8 191
2111 748 9 172
2114 613 19 170
2119 123 17 48
2120 342 6 111
2123 547 7 32
2124 682 18 197
2125 683 17 136
2129 163 6 18
2130 981 6 45
2135 359 12 93
2145 694 6 155
2146 570 18 141
2147 730 11 78
2148 414 8 190
2150 934 20 167
2152 428 9 43
2155 24 20 73
2159 202 19 170
2161 504 8 166
2163 71 9 68
2163 290 16 189
2164 891 18 47
2166 77 11 92
2166 691 19 112
2168 96 7 120
2169 286 15 33
2169 500 9 40
2171 787 6 57
2172 637 16 95
2173 687 17 160
2177 597 20 79
2179 783 16 120
2180 772 16 154
2182 744 14 112
2184 102 18 99
2184 517 6 136
2188 344 16 62
2188 623 14 184
2192 552 17 122
2193 340 7 157
2194 818 20 103
2195 543 20 56
2199 12 10 126
2201 746 6 200
2206 364 18 48
2208 614 19 94
2213 619 20 199
2214 972 15 97
2214 157 6 185
2216 366 16 39
2218 618 13 35
2221 757 11 74
2222 139 17 33
2224 217 14 153
2228 79 18 79
2231 996 19 200
2234 111 15 61
2236 694 13 48
2238 527 10 54
2239 618 9 78
2240 202 16 96
2250 849 9 105
2255 641 8 175
2258 561 20 198
2260 388 13 124
2260 466 19 190
2262 883 12 103
2262 164 8 136
2266 609 6 11
2268 779 16 47
2268 603 9 89
2271 978 15 27
2271 452 19 191
2273 497 7 118
2274 945 8 30
2275 902 15 76
2275 538 9 116
2275 622 17 197
2276 895 18 25
2278 906 16 86
2285 219 7 130
2293 167 12 14
2294 923 8 101
2297 471 14 174
2304 747 14 174
2305 144 18 81
2305 354 20 145
2309 954 20 86
2309 397 15 137
2311 355 19 43
2313 942 7 25
2313 571 10 180
2315 44 18 139
2318 556 14 152
2322 421 14 140
2324 684 7 96
2325 822 13 75
2328 366 20 178
2331 307 9 179
2335 121 12 106
2335 618 13 143
2340 591 6 75
2340 668 10 187
2341 641 10 75
2343 882 16 43
2345 673 18 84
2347 416 11 34
2347 645 16 135
2348 278 11 153
2350 797 13 36
2350 998 19 156
2351 854 11 42
2352 801 15 164
2357 224 10 24
2357 834 7 194
2358 95 11 123
2359 92 16 97
2361 66 7 157
2362 63 13 134
2365 667 6 22
2366 748 18 160
2369 290 6 192
2372 797 10 65
2374 106 8 182
2379 114 13 135
2383 215 10 158
2384 706 8 28
2384 214 11 44
2385 979 20 179
2386 964 12 52
2390 781 7 67
2393 675 17 26
2394 500 17 72
2397 709 20 48
2399 98 9 134
2400 905 9 195
2404 505 16 59
2407 61 7 28
2409 855 13 182
2410 324 20 25
2421 737 13 31
2421 919 16 76
2423 705 18 99
2430 903 10 44
2430 572 8 93
2433 97 9 98
2433 173 10 161
2436 911 14 24
2436 285 20 145
2438 306 18 150
2439 113 18 88
2445 425 14 112
2446 94 12 24
2446 359 8 100
2447 684 13 45
2448 305 16 56
2448 27 11 175
2449 394 15 28
2452 844 14 113
2460 529 6 186
2461 973 6 196
2463 826 8 39
2471 808 12 187
2472 222 19 187
2474 134 20 53
2475 576 9 122
2477 109 20 133
2478 302 19 131
2478 721 12 172
2482 964 12 104
2483 72 15 66
2483 879 7 119
2486 486 16 101
2488 837 12 117
2489 888 7 167
2494 704 20 200
2504 112 6 33
2510 606 7 23
2512 245 6 101
2513 401 17 74
2513 911 13 80
2513 628 8 146
2514 404 8 47
2514 220 6 120
2516 568 7 197
2526 661 20 41
2527 986 6 56
2528 669 20 24
2532 895 12 53
2532 361 7 89
2535 571 16 56
2538 287 15 117
2541 151 16 135
2543 160 8 48
2545 100 17 94
2548 980 9 20
2548 393 7 102
2553 369 11 86
2555 814 8 107
2556 548 9 45
2557 844 15 154
2562 650 14 114
2562 160 14 144
2567 311 11 172
2570 294 19 111
2570 488 15 125
2574 881 20 31
2574 728 7 135
2578 381 15 142
2581 253 12 65
2582 507 18 92
2583 407 9 17
2583 558 18 130
2585 106 17 33
2597 716 13 70
2597 649 7 193
2598 362 16 181
2599 676 11 99
2600 985 6 140
2600 51 19 142
2604 799 11 115
2616 396 13 62
2619 747 11 170
2619 79 19 181
2623 909 16 95
2623 423 20 135
2624 327 11 143
2629 790 17 191
2630 271 16 38
2640 338 10 68
2641 68 20 120
2642 268 12 122
2643 519 8 20
2643 937 15 28
2644 388 14 103
2646 566 10 195
2647 880 11 62
2648 530 19 160
2649 540 19 52
2653 886 6 39
2654 906 15 54
2654 209 10 107
2655 429 15 195
2656 775 19 156
2658 599 11 102
2660 694 12 173
2661 548 20 107
2663 502 14 46
2664 862 18 103
2666 964 18 177
2668 530 7 64
2669 696 18 67
2670 908 17 83
2671 51 17 107
2674 300 17 25
2675 717 20 61
2675 191 13 110
2676 278 8 23
2683 678 14 97
2684 334 18 95
2686 774 18 63
2690 224 15 68
2690 269 16 155
2691 835 16 117
2696 194 7 16
2696 122 6 101
2697 336 15 45
2698 614 16 138
2699 403 18 126
2699 131 20 145
2700 928 19 167
2702 642 12 193
2705 944 10 103
2706 254 20 181
2707 943 12 191
2708 994 7 108
2708 774 15 146
2713 238 19 32
2720 947 16 58
2720 479 13 71
2722 33 12 167
2723 175 17 133
2728 981 13 172
2730 39 10 153
2731 368 19 52
2732 84 9 90
2733 639 13 44
2733 221 18 146
2735 209 16 29
2739 597 9 39
2746 125 17 143
2747 347 8 90
2749 267 10 37
2751 20 20 103
2751 73 11 135
2752 477 19 88
2752 735 8 103
2752 479 11 149
2752 116 12 161
2753 164 8 106
2755 211 13 15
2757 531 16 22
2757 306 6 104
2761 155 12 115
2761 20 16 126
2763 188 17 55
2766 915 14 69
2767 485 6 186
2769 545 14 132
2772 48 17 77
2772 801 19 81
2773 558 8 83
2773 764 11 119
2774 467 17 137
2779 953 12 28
2786 830 9 80
2792 633 15 122
2792 799 17 128
2794 635 18 147
2799 769 13 32
2799 974 9 93
2801 881 8 166
2805 233 12 31
2807 274 15 180
2808 31 12 169
2809 269 7 127
2809 346 17 152
2812 942 14 82
2816 419 12 48
2816 808 9 165
2817 28 18 171
2823 910 18 87
2824 14 11 100
2824 419 7 150
2825 548 17 101
2826 769 19 24
2828 198 7 138
2828 156 15 183
2829 939 6 32
2829 556 17 34
2831 153 10 14
2831 316 15 180
2835 614 19 64
2838 721 16 123
2839 89 6 133
2840 224 6 111
2847 271 19 58
2848 561 19 20
2849 795 12 115
2855 89 11 22
2858 26 8 9
2858 876 18 144
2861 615 19 194
2863 722 20 147
2868 408 14 89
2869 913 17 183
2870 813 10 29
2870 564 7 46
2871 677 15 152
2872 918 13 89
2874 689 20 41
2876 509 10 125
2880 106 13 149
2882 89 15 195
2884 694 8 71
2885 442 12 89
2893 415 10 131
2893 836 10 186
2901 269 7 9
2901 660 15 178
2901 848 20 199
2902 215 19 103
2902 231 11 172
2903 142 16 149
2906 125 14 141
2906 982 11 194
2908 805 14 57
2910 206 9 38
2910 376 10 145
2913 958 20 87
